Unnamed: 0,PENGURUS BANK
DEWAN KOMISARIS,
Komsarts Uama,"Da!o Sa Prot DR iahy, WBA"
Komrtarrs noependen,Ir Kumha OamI S E
Komsars Independon,Ds DaBachtrSH*)
DEWAN DIREKSI,
Orektur Utama,Harryono Tjanparpad. MBA
Wald Deekhr Utarna,Thomnas Aifn
Drettur,Rudy Mutyoro
Orektut *!,Yohanes Sunard eri senea eg pe ca Cnrs a Keaga
