PEMEGANG SAHAM,PEMEGANG SAHAM.1,PEMEGANG SAHAM.2,PEMEGANG SAHAM.3
Pemegang Saham Pengendali (PSP),Pemegang Saham Pengendali (PSP),Pemegang Saham Bukan PSP melalui Pasar Modal (> 5%),Pemegang Saham Bukan PSP melalui Pasar Modal (> 5%)
Utma'e sharocidier,Dato S Prcf DR Tar VA,1 Dato SPYcf D tahr WA,19 34 %
Meiarl,,?onachar Tahit,$ 8r%
"PT Wayapada Kar,na",2416%,3 Cafsu Grya Mogatama P1,8.19%
,12.3*%,"4P,tCB a ReCatry.Se ntsanco Co.id",8.58%
Pi Wayapada Kash,,5 Mat yar atr.,20.97%
